"Gene_ID","Gene_name","Fourier_score","P_value","FDR"
"YER063W","THO1",2.71420445602224,0.63232,0.72655062692703
"YER064C","YER064C",6.5233551601672,0.03153,0.0943032102728732
"YER065C","ICL1",7.48286008441732,0.00485,0.0237611744084137
"YER066W","RRT13",7.71412711417464,0.00158,0.0108105263157895
"YER067W","RGI1",5.22891394593113,0.08257,0.190572378199835
"YER068W","MOT2",4.94525955690047,0.17114,0.314694934210526
"YER069W","ARG5,6",1.84248068613077,0.79968,0.8514688
"YER070W","RNR1",7.88129381678131,0.00031,0.00366363636363636
"YER071C","YER071C",3.57696201962447,0.41921,0.556901093155893
"YER072W","VTC1",2.11595864881943,0.74155,0.807859567420109
"YER073W","ALD5",3.67521907712522,0.40068,0.541276268728854
"YER074W","RPS24A",3.72644725985268,0.40042,0.541276268728854
"YER074W-A","YOS1",1.26527770063544,0.9255,0.945112349287541
"YER075C","PTP3",3.23320367852447,0.49342,0.618850751626655
"YER076C","YER076C",4.63155283938726,0.22269,0.37483803071364
"YER077C","YER077C",8.16830972089956,0.00075,0.00652021772939347
"YER078W-A","YER078W-A",3.72351874981662,0.3915,0.532867056245435
"YER078C","ICP55",6.31187472609913,0.04013,0.112782672024108
"YER079W","YER079W",1.98574647612023,0.8252,0.87002414183327
"YER080W","AIM9",5.57765745993969,0.10039,0.217764881645324
"YER081W","SER3",1.68412887417463,0.83099,0.873656968215159
"YER082C","UTP7",2.62193636390906,0.63216,0.726516118421053
"YER083C","GET2",5.08276546934766,0.15621,0.29550385786802
"YER086W","ILV1",7.52837284526719,0.00586,0.0274350083752094
"YER087W","AIM10",6.86400993507854,0.00861,0.0362151241534989
"YER087C-B","SBH1",4.55140131107445,0.23379,0.38596754282339
"YER088C","DOT6",3.8315742168503,0.37382,0.518117496902107
"YER089C","PTC2",3.90794325178525,0.3721,0.516908300198807
"YER090W","TRP2",0.845698049738202,0.95568,0.967098334540188
"YER091C","MET6",1.53274105892192,0.85785,0.891832155477032
"YER092W","IES5",4.46541667688382,0.25684,0.410785873605948
"YER093C","TSC11",0.676831779754301,0.97167,0.978496721311475
"YER093C-A","AIM11",8.91895188685871,0,0
"YER094C","PUP3",4.63850091108736,0.22483,0.376512792091072
"YER095W","RAD51",7.76542572190409,0.00034,0.0038551724137931
"YER098W","UBP9",7.50204978654363,0.00125,0.00911016949152542
"YER099C","PRS2",2.53110487625678,0.6542,0.74359048393656
"YER100W","UBC6",1.7228918845039,0.82815,0.872147418990203
"YER101C","AST2",7.12366493851601,0.00502,0.024344329004329
"YER103W","SSA4",3.9269727560333,0.40174,0.541791700844391
"YER104W","RTT105",8.00380729091332,0.00026,0.00325145413870246
"YER105C","NUP157",5.17763564327486,0.14509,0.282203583855254
"YER107C","GLE2",6.75245139245018,0.02088,0.0690237729154347
"YER109C","FLO8",6.77012566460699,0.01974,0.0662742342342342
"YER110C","KAP123",6.26061704475066,0.04548,0.124016195121951
"YER111C","SWI4",8.37956153849151,0.00022,0.0029633734939759
"YER112W","LSM4",3.93055234494036,0.37359,0.5179484375
"YER113C","TMN3",7.84879648380107,0.00107,0.00818235294117647
"YER114C","BOI2",6.91739433133133,0.02107,0.0695285123966942
"YER115C","SPR6",4.02099756493083,0.33393,0.483935527338689
"YER116C","SLX8",5.00273798989659,0.1689,0.312219246031746
"YER117W","RPL23B",5.5328936050882,0.10426,0.22398670253651
"YER118C","SHO1",8.8871520650971,6e-05,0.00153150684931507
"YER119C","AVT6",5.26912251959118,0.13494,0.268822024233785
"YER120W","SCS2",6.94783229671359,0.01547,0.0556481981981982
"YER121W","YER121W",5.29688766428808,0.05381,0.13999711493718
"YER122C","GLO3",7.98189427730172,0.00136,0.00964771573604061
"YER123W","YCK3",4.65523154581302,0.21962,0.371983858267717
"YER124C","DSE1",6.44991251208925,0.03962,0.1118
"YER125W","RSP5",3.2458701937838,0.51511,0.635082686369651
"YER126C","NSA2",2.59722881467541,0.63722,0.73052908121411
"YER127W","LCP5",3.28587434988437,0.48214,0.609351706986209
"YER128W","YER128W",3.68606577231073,0.40595,0.5454953125
"YER129W","SAK1",4.41475126305311,0.25865,0.412394038790645
"YER130C","YER130C",7.05473697204876,0.01151,0.0450882270497547
"YER131W","RPS26B",3.91237882515102,0.37437,0.518258618127786
"YER132C","PMD1",3.10175223108477,0.52374,0.641894653812445
"YER133W","GLC7",2.31354955574398,0.73683,0.805445326554556
"YER134C","YER134C",4.58729163185283,0.23065,0.382364620403321
"YER136W","GDI1",6.21922178976284,0.0321,0.0955479233226837
"YER137C","YER137C",1.72022147137946,0.82382,0.869092564634837
"YER139C","RTR1",8.25957928566222,0.00024,0.00308413793103448
"YER140W","YER140W",8.08770076312231,0.0013,0.00936469072164949
"YER141W","COX15",5.59726921260314,0.07516,0.177726057529611
"YER142C","MAG1",5.35521367105222,0.12437,0.254475951683748
"YER143W","DDI1",5.71425643848572,0.08897,0.199758313253012
"YER144C","UBP5",4.30323594425613,0.27611,0.4316149049217
"YER145C","FTR1",4.32877415959374,0.29068,0.445347891566265
"YER146W","LSM5",3.60711974434362,0.4239,0.560985085227273
"YER147C","SCC4",4.4752221413964,0.24415,0.397552723565395
"YER148W","SPT15",3.02464526414405,0.57189,0.678451846349745
"YER149C","PEA2",7.74832680443847,0.00092,0.00739971223021583
"YER150W","SPI1",3.77912259556123,0.44427,0.57808875698324
"YER151C","UBP3",5.75014877699217,0.0821,0.189847311827957
"YER152C","YER152C",6.23370605320271,0.04891,0.130906079463858
